,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
70,CHEMBL14376,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.4880000000001,4.826600000000004,0.0,6.0,6.958607314841775
71,CHEMBL116463,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,295.382,3.630100000000003,2.0,3.0,15.0
72,CHEMBL326263,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,341.4330000000001,0.5567000000000012,2.0,5.0,16.69897000433602
73,CHEMBL113956,NC1CCc2cc(O)c(O)cc2C1,179.21899999999997,0.9137999999999997,3.0,3.0,16.397940008672037
74,CHEMBL115280,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,295.382,3.630100000000003,2.0,3.0,18.0
75,CHEMBL325750,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,395.47800000000007,3.217100000000001,1.0,4.0,18.522878745280337
76,CHEMBL115222,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,361.52900000000017,4.844800000000005,1.0,2.0,17.30102999566398
77,CHEMBL325516,NCCc1c[nH]c2ccc(O)cc12,176.21899999999997,1.3747,3.0,2.0,12.522878745280337
78,CHEMBL114484,CC(C)(C)[C@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,361.52900000000017,4.844800000000005,1.0,2.0,14.0
79,CHEMBL326962,NCCc1ccc(O)c(O)c1,153.18099999999998,0.5989999999999998,3.0,3.0,14.096910013008056
80,CHEMBL112457,NC[C@H](O)c1ccc(O)c(O)c1,169.17999999999998,0.08989999999999998,4.0,4.0,13.096910013008056
81,CHEMBL115506,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,517.6200000000002,6.181880000000007,1.0,4.0,6.258848401148215
82,CHEMBL116233,N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,503.59300000000013,5.745480000000006,0.0,4.0,5.649751981665837
83,CHEMBL112413,CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,521.6520000000003,5.845500000000006,1.0,3.0,5.539102157243452
