Name;RF;XGB;Mean;SD;CV
ZINC000034676245;6.112990863;5.7495174;5.931254132;0.181736732;0.030640523
ZINC000000002005;6.068685435;5.136649;5.602667218;0.466018218;0.083177922
ZINC000000000346;5.746397875;5.652554;5.699475938;0.046921938;0.008232676
ZINC000000000506;5.242615587;5.1185603;5.180587944;0.062027644;0.01197309
ZINC000000004076;6.142912485;5.8313336;5.987123043;0.155789443;0.026020752
ZINC000000001899;6.302865434;5.9748325;6.138848967;0.164016467;0.026717788
ZINC000000020231;6.648813331;6.222009;6.435411166;0.213402166;0.033160611
ZINC000000004840;5.678228207;5.2497344;5.463981304;0.214246904;0.039210768
ZINC000000596731;5.770574429;5.415396;5.592985215;0.177589215;0.031752134
ZINC000000896484;6.647773132;6.1804204;6.414096766;0.233676366;0.036431687
ZINC000002570895;5.949656896;5.631223;5.790439948;0.159216948;0.02749652
ZINC000001529266;5.483385212;5.477792;5.480588606;0.002796606;0.000510275
ZINC000000602632;6.221412317;5.761484;5.991448159;0.229964159;0.038382066
ZINC000084400879;6.321061611;6.2537694;6.287415506;0.033646105;0.005351341
ZINC000019796087;6.321061611;6.2537694;6.287415506;0.033646105;0.005351341
ZINC000000538275;5.814093748;5.822178;5.818135874;0.004042126;0.000694746
ZINC000000596881;5.137859002;5.118952;5.128405501;0.009453501;0.001843361
ZINC000012414057;5.91162959;5.4720707;5.691850145;0.219779445;0.038613006
ZINC000000003876;6.291634884;5.5269146;5.909274742;0.382360142;0.064705088
ZINC000000009342;5.716464584;5.5922475;5.654356042;0.062108542;0.010984194
ZINC000003079342;5.600757438;5.3303733;5.465565369;0.135192069;0.02473524
ZINC000000004319;6.310801642;5.704838;6.007819821;0.302981821;0.050431243
ZINC000000074836;6.378745323;6.8131294;6.595937362;0.217192039;0.032928154
ZINC000000601301;6.665083232;6.2921653;6.478624266;0.186458966;0.028780642
ZINC000004468778;6.052815955;5.4808316;5.766823778;0.285992178;0.049592668
ZINC000004474405;6.197485442;6.1846395;6.191062471;0.006422971;0.001037459
ZINC000004693575;6.072457115;5.7234097;5.897933408;0.174523708;0.029590654
ZINC000000020228;6.255694049;6.2601566;6.257925325;0.002231276;0.000356552
ZINC000001542930;5.176078787;5.018588;5.097333394;0.078745393;0.015448351
ZINC000001550477;6.415518615;5.884928;6.150223308;0.265295308;0.043135882
ZINC000001542113;8.253386876;8.890516;8.571951438;0.318564562;0.037163599
ZINC000000968310;5.319278969;5.2693005;5.294289735;0.024989235;0.004720035
ZINC000242437511;5.908746505;5.204021;5.556383753;0.352362753;0.063415842
ZINC000245204949;6.340655323;5.775845;6.058250162;0.282405162;0.046614972
